canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,CHEMBL133897,IC50,nM,750.0,IC50,uM,0.75
CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,CHEMBL133897,IC50,nM,750.0,IC50,uM,0.75
O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,CHEMBL336398,IC50,nM,100.0,IC50,uM,0.1
O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,CHEMBL130628,IC50,nM,300.0,IC50,uM,0.3
CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,CHEMBL130478,IC50,nM,800.0,IC50,uM,0.8
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL130112,IC50,nM,2400.0,IC50,uM,2.4
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,CHEMBL130098,IC50,nM,100.0,IC50,uM,0.1
COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,CHEMBL336538,IC50,nM,800.0,IC50,uM,0.8
CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,CHEMBL335033,IC50,nM,50.0,IC50,uM,0.05
CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,CHEMBL338720,IC50,nM,560.0,IC50,uM,0.56
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL131536,IC50,nM,1400.0,IC50,uM,1.4
Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,CHEMBL106126,IC50,nM,17000.0,IC50,uM,17.0
CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL334971,IC50,nM,1100.0,IC50,uM,1.1
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,CHEMBL130666,IC50,nM,26.0,IC50,uM,0.026
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,CHEMBL133388,IC50,nM,800.0,IC50,uM,0.8
CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,CHEMBL336524,IC50,nM,56.0,IC50,uM,0.056
CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,CHEMBL336276,IC50,nM,200.0,IC50,uM,0.2
CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,CHEMBL334395,IC50,nM,300.0,IC50,uM,0.3
Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,CHEMBL131320,IC50,nM,200.0,IC50,uM,0.2
CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,CHEMBL337714,IC50,nM,500.0,IC50,uM,0.5
CCN(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1,CHEMBL46151,IC50,nM,260000.0,IC50,mM,0.26
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],CHEMBL54126,IC50,nM,22.0,IC50,nM,22.0
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12,CHEMBL65667,IC50,nM,3800.0,IC50,uM,3.8
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,CHEMBL431519,IC50,nM,40.0,IC50,uM,0.04
N#CC(C#N)=C1Nc2ccccc2N1CCNCc1ccc(CN2CCCCC2)o1,CHEMBL154972,IC50,nM,73.0,IC50,nM,73.0
COc1cc(N)c(Cl)cc1C(=O)NCCNCc1ccc(CN(C)C)o1,CHEMBL152722,IC50,nM,3100.0,IC50,nM,3100.0
CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.Cl,CHEMBL544022,IC50,nM,520000.0,IC50,mM,0.52
CN1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,CHEMBL349127,IC50,nM,4500.0,IC50,nM,4500.0
Oc1nc2ccccc2n1CCNCc1ccc(CN2CCCCC2)o1,CHEMBL156659,IC50,nM,1200.0,IC50,nM,1200.0
CC1CCCCN1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,CHEMBL155322,IC50,nM,540.0,IC50,nM,540.0
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,CHEMBL154211,IC50,nM,30.0,IC50,nM,30.0
CNC(NCCNCc1ccc(CN2CCCCC2)o1)=C(C#N)C#N.Cl,CHEMBL1203537,IC50,nM,830.0,IC50,nM,830.0
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCC(O)CC2)o1,CHEMBL345849,IC50,nM,390.0,IC50,nM,390.0
CN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,CHEMBL154689,IC50,nM,390.0,IC50,nM,390.0
CCN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,CHEMBL346733,IC50,nM,430.0,IC50,nM,430.0
CCN(CC)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1.Cl,CHEMBL1203539,IC50,nM,600.0,IC50,nM,600.0
